"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"To update phone number of newly added user","6196","TC04_UpdateUser - To update phone number of newly added user","suite","Wed Jan 01 11:55:48 GMT 2025","passed","Wed Jan 01 11:55:54 GMT 2025","RESTUserTest","","",""
"To get all the user in the store","32522","TC01_GetAllUserTest - To get all the user in the store","suite","Wed Jan 01 11:55:04 GMT 2025","passed","Wed Jan 01 11:55:37 GMT 2025","RESTUserTest","","",""
"Create new user with London Address","51045","TC02_CreateAccountTest - Create new user with London Address","suite","Wed Jan 01 11:55:05 GMT 2025","passed","Wed Jan 01 11:55:56 GMT 2025","CreateAccountTest","","",""
"To get single user in the store","717","TC02_GetSingleUser - To get single user in the store","suite","Wed Jan 01 11:55:37 GMT 2025","passed","Wed Jan 01 11:55:38 GMT 2025","RESTUserTest","","",""
"Create new user with PK Address","49546","TC01_CreateAccountTest - Create new user with PK Address","suite","Wed Jan 01 11:55:04 GMT 2025","passed","Wed Jan 01 11:55:54 GMT 2025","CreateAccountTest","","",""
"To add new user to the store","10285","TC03_AddUser - To add new user to the store","suite","Wed Jan 01 11:55:38 GMT 2025","passed","Wed Jan 01 11:55:48 GMT 2025","RESTUserTest","","",""
"Contact Us regarding Speakers","5466","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Wed Jan 01 11:56:18 GMT 2025","passed","Wed Jan 01 11:56:24 GMT 2025","ContactUsTest","","",""
"To download pdf file from application","18671","DownloadTest - To download pdf file from application","suite","Wed Jan 01 11:56:00 GMT 2025","passed","Wed Jan 01 11:56:18 GMT 2025","DownloadTest","","",""
"To Login to the store with newly added user","3098","TC05_StoreLogin - To Login to the store with newly added user","suite","Wed Jan 01 11:55:54 GMT 2025","passed","Wed Jan 01 11:55:57 GMT 2025","RESTUserTest","","",""
"Login with valid credentials from Create Account","16623","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Wed Jan 01 11:56:02 GMT 2025","passed","Wed Jan 01 11:56:19 GMT 2025","LoginTest","","",""
"To delete a newly added user","2556","TC06_DeleteUser - To delete a newly added user","suite","Wed Jan 01 11:55:57 GMT 2025","passed","Wed Jan 01 11:56:00 GMT 2025","RESTUserTest","","",""
"Login with valid credentials","14733","TC01_ValidLogin - Login with valid credentials","suite","Wed Jan 01 11:55:54 GMT 2025","passed","Wed Jan 01 11:56:09 GMT 2025","LoginTest","","",""
"Login with invalid credentials","5731","TC02_InValidLogin - Login with invalid credentials","suite","Wed Jan 01 11:55:56 GMT 2025","passed","Wed Jan 01 11:56:02 GMT 2025","LoginTest","","",""
"Contact Us regarding Headphone","9606","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Wed Jan 01 11:56:09 GMT 2025","passed","Wed Jan 01 11:56:18 GMT 2025","ContactUsTest","","",""
