"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with invalid credentials","3236","TC02_InValidLogin - Login with invalid credentials","suite","Fri Jan 03 10:55:07 GMT 2025","passed","Fri Jan 03 10:55:11 GMT 2025","LoginTest","","",""
"Create new user with PK Address","40618","TC01_CreateAccountTest - Create new user with PK Address","suite","Fri Jan 03 10:54:27 GMT 2025","passed","Fri Jan 03 10:55:07 GMT 2025","CreateAccountTest","","",""
"Contact Us regarding Headphone","3831","TC01_ContactUsTest : Contact Us regarding Headphone","suite","Fri Jan 03 10:55:50 GMT 2025","passed","Fri Jan 03 10:55:54 GMT 2025","ContactUsTest","","",""
"Create new user with London Address","38916","TC02_CreateAccountTest - Create new user with London Address","suite","Fri Jan 03 10:54:27 GMT 2025","passed","Fri Jan 03 10:55:06 GMT 2025","CreateAccountTest","","",""
"To delete a newly added user","740","TC06_DeleteUser - To delete a newly added user","suite","Fri Jan 03 10:55:44 GMT 2025","passed","Fri Jan 03 10:55:45 GMT 2025","RESTUserTest","","",""
"To download pdf file from application","5641","DownloadTest - To download pdf file from application","suite","Fri Jan 03 10:55:45 GMT 2025","passed","Fri Jan 03 10:55:50 GMT 2025","DownloadTest","","",""
"To get single user in the store","9282","TC02_GetSingleUser - To get single user in the store","suite","Fri Jan 03 10:55:07 GMT 2025","passed","Fri Jan 03 10:55:16 GMT 2025","RESTUserTest","","",""
"To Login to the store with newly added user","4159","TC05_StoreLogin - To Login to the store with newly added user","suite","Fri Jan 03 10:55:40 GMT 2025","passed","Fri Jan 03 10:55:44 GMT 2025","RESTUserTest","","",""
"Contact Us regarding Speakers","3755","TC02_ContactUsTest : Contact Us regarding Speakers","suite","Fri Jan 03 10:55:54 GMT 2025","passed","Fri Jan 03 10:55:58 GMT 2025","ContactUsTest","","",""
"Login with valid credentials","68957","TC01_ValidLogin - Login with valid credentials","suite","Fri Jan 03 10:55:06 GMT 2025","failed","Fri Jan 03 10:56:15 GMT 2025","LoginTest","","",""
"Login with valid credentials from Create Account","66117","TC03_LoginCreateAccount - Login with valid credentials from Create Account","suite","Fri Jan 03 10:55:11 GMT 2025","failed","Fri Jan 03 10:56:17 GMT 2025","LoginTest","","",""
"To update phone number of newly added user","11900","TC04_UpdateUser - To update phone number of newly added user","suite","Fri Jan 03 10:55:28 GMT 2025","passed","Fri Jan 03 10:55:40 GMT 2025","RESTUserTest","","",""
"To get all the user in the store","39684","TC01_GetAllUserTest - To get all the user in the store","suite","Fri Jan 03 10:54:27 GMT 2025","passed","Fri Jan 03 10:55:07 GMT 2025","RESTUserTest","","",""
"To add new user to the store","11885","TC03_AddUser - To add new user to the store","suite","Fri Jan 03 10:55:16 GMT 2025","passed","Fri Jan 03 10:55:28 GMT 2025","RESTUserTest","","",""
